competitor,competitor_product_id,competitor_product_name,competitor_product_group_name,unit,color,stem_length,stems_per_unit,unit_price,stem_price,available_units,grower_country,cleaned_name_used,created_at,eta_date
DVFlora,54810,Carnation Cheerio,Carnations,Stem,Bicolor,,1,0.46,0.46,75,Colombia,Carnation Cheerio,2025-06-01,2025-06-10
DVFlora,68378,Carnation Cover,Carnations,Stem,Bicolor,,1,0.56,0.56,25,Colombia,Carnation Cover,2025-06-01,2025-06-10
DVFlora,50616,Carnation Creola,Carnations,Stem,Bicolor,,1,0.48,0.48,350,Miami,Carnation Creola,2025-06-01,2025-06-10
DVFlora,50986,Carnation Komachi Fiesta,Carnations,Stem,Bicolor,,1,0.52,0.52,50,Miami,Carnation Komachi Fiesta,2025-06-01,2025-06-10
DVFlora,52160,Carnation Mauve Mohave,Carnations,Stem,Bicolor,,1,0.49,0.49,75,Colombia,Carnation Mauve Mohave,2025-06-01,2025-06-10
DVFlora,62797,Carnation Nobbio Cherry,Carnations,Stem,Bicolor,,1,0.54,0.54,75,Colombia,Carnation Nobbio Cherry,2025-06-01,2025-06-10
DVFlora,54837,Carnation Spritz Sport,Carnations,Stem,Bicolor,,1,0.42,0.42,350,Colombia,Carnation Spritz Sport,2025-06-01,2025-06-10
DVFlora,21336,Mini Carnation Burgundy,Carnations-Mini,Bu,Burgundy,,1,4.59,4.59,30,Colombia,Mini Carnation Burgundy,2025-06-01,2025-06-10
DVFlora,21354,Mini Carnation Yellow,Carnations-Mini,Bu,Yellow,,1,4.59,4.59,30,Colombia,Mini Carnation Yellow,2025-06-01,2025-06-10
DVFlora,28898,Aster White Double Carnival,Aster-Spray,Bu,White,,1,,,,Ecuador,Aster White Double Carnival,2025-06-01,2025-06-10
DVFlora,26779,Aster White Mardi Gras,Aster-Spray,Bu,White,,1,10.99,10.99,12,Ecuador,Aster White Mardi Gras,2025-06-01,2025-06-10
